TQ:Q, TS:S, qindex, sindex, q, s, d
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:1, 1, 14, [], [], 1.096
2:0, 2:2, 2, 7, [], [], 0.000
2:0, 104:3, 2, 0, [], [], 0.000
2:0, 895:3, 2, 0, [], [], 0.000
2:0, 980:3, 2, 0, [], [], 0.000
2:0, 1296:3, 2, 0, [], [], 0.000
2:0, 1398:3, 2, 0, [], [], 0.000
2:0, 2035:3, 2, 0, [], [], 0.000
2:0, 4123:3, 2, 0, [], [], 0.000
2:0, 5393:3, 2, 0, [], [], 0.000
2:0, 5418:3, 2, 0, [], [], 0.000
2:0, 5778:2, 2, 8, [], [], 0.000
2:0, 6320:3, 2, 0, [], [], 0.000
2:0, 6667:3, 2, 0, [], [], 0.000
2:0, 6894:3, 2, 0, [], [], 0.000
2:0, 8521:3, 2, 0, [], [], 0.000
2:0, 8943:3, 2, 0, [], [], 0.000
2:0, 9768:3, 2, 0, [], [], 0.000
2:0, 10176:3, 2, 0, [], [], 0.000
2:0, 10373:3, 2, 0, [], [], 0.000
2:0, 10383:3, 2, 0, [], [], 0.000
2:0, 10640:3, 2, 0, [], [], 0.000
2:0, 11824:3, 2, 0, [], [], 0.000
2:0, 11968:3, 2, 0, [], [], 0.000
2:0, 12043:3, 2, 0, [], [], 0.000
2:0, 12182:3, 2, 0, [], [], 0.000
2:0, 12220:3, 2, 0, [], [], 0.000
2:0, 12264:2, 2, 235, [], [], 0.000
2:0, 13076:3, 2, 0, [], [], 0.000
2:0, 13169:1, 2, 26, [], [], 0.000
2:0, 13349:3, 2, 0, [], [], 0.000
2:0, 13996:3, 2, 0, [], [], 0.000
2:0, 14225:3, 2, 0, [], [], 0.000
2:0, 14657:3, 2, 0, [], [], 0.000
2:0, 15349:3, 2, 0, [], [], 0.000
2:0, 15905:3, 2, 0, [], [], 0.000
2:0, 16704:3, 2, 0, [], [], 0.000
2:0, 16948:3, 2, 0, [], [], 0.000
2:0, 17056:3, 2, 0, [], [], 0.000
2:0, 17061:3, 2, 0, [], [], 0.000
2:0, 17673:3, 2, 0, [], [], 0.000
2:0, 18102:3, 2, 0, [], [], 0.000
2:0, 18733:3, 2, 0, [], [], 0.000
2:0, 19228:3, 2, 0, [], [], 0.000
2:0, 19612:3, 2, 0, [], [], 0.000
2:0, 19803:3, 2, 0, [], [], 0.000
2:0, 20108:3, 2, 0, [], [], 0.000
2:0, 20146:3, 2, 0, [], [], 0.000
2:0, 20364:3, 2, 0, [], [], 0.000
2:0, 20556:3, 2, 0, [], [], 0.000
2:0, 21135:3, 2, 11, [], [], 0.000
2:0, 21254:3, 2, 0, [], [], 0.000
2:0, 21443:3, 2, 0, [], [], 0.000
2:0, 21581:4, 2, 1, [], [], 0.000
2:0, 22096:3, 2, 0, [], [], 0.000
2:0, 22686:3, 2, 0, [], [], 0.000
2:0, 22820:3, 2, 0, [], [], 0.000
2:0, 22973:3, 2, 0, [], [], 0.000
2:0, 23077:3, 2, 0, [], [], 0.000
2:0, 23079:3, 2, 0, [], [], 0.000
2:0, 23529:3, 2, 0, [], [], 0.000
2:0, 23884:3, 2, 0, [], [], 0.000
2:0, 24692:3, 2, 0, [], [], 0.000
2:0, 24846:3, 2, 0, [], [], 0.000
2:0, 24920:3, 2, 0, [], [], 0.000
2:0, 25360:3, 2, 0, [], [], 0.000
2:0, 25536:3, 2, 0, [], [], 0.000
2:0, 25696:3, 2, 0, [], [], 0.000
2:0, 26032:3, 2, 0, [], [], 0.000
2:0, 26061:2, 2, 3, [], [], 0.000
2:0, 26109:3, 2, 0, [], [], 0.000
2:0, 26385:3, 2, 0, [], [], 0.000
2:0, 26530:3, 2, 0, [], [], 0.000
2:0, 26605:3, 2, 0, [], [], 0.000
2:0, 26777:3, 2, 10, [], [], 0.000
2:0, 27800:3, 2, 0, [], [], 0.000
2:0, 28513:3, 2, 25, [], [], 0.000
2:0, 28572:3, 2, 0, [], [], 0.000
2:0, 28632:3, 2, 0, [], [], 0.000
2:0, 29043:3, 2, 0, [], [], 0.000
2:0, 29121:3, 2, 0, [], [], 0.000
2:0, 29178:3, 2, 0, [], [], 0.000
2:0, 29368:3, 2, 0, [], [], 0.000
2:0, 30371:3, 2, 0, [], [], 0.000
2:0, 31123:3, 2, 0, [], [], 0.000
2:0, 31169:4, 2, 1, [], [], 0.000
2:0, 31648:3, 2, 0, [], [], 0.000
2:0, 31923:2, 2, 2, [], [], 0.000
2:0, 32495:3, 2, 0, [], [], 0.000
2:0, 32513:3, 2, 0, [], [], 0.000
2:0, 32544:3, 2, 0, [], [], 0.000
2:0, 33466:3, 2, 0, [], [], 0.000
2:0, 33497:3, 2, 0, [], [], 0.000
2:0, 33553:3, 2, 0, [], [], 0.000
2:0, 33870:3, 2, 0, [], [], 0.000
2:0, 33934:3, 2, 0, [], [], 0.000
2:0, 34164:3, 2, 0, [], [], 0.000
2:0, 34836:3, 2, 0, [], [], 0.000
